,City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
0,Port Elizabeth,ZA,-33.92,25.57,1584227514,95,82,66.2,11.41
1,Rundu,NA,-17.93,19.77,1584227514,86,83,71.6,3.36
2,Ilulissat,GL,69.22,-51.1,1584227515,98,70,1.4,6.93
3,Albany,US,42.6,-73.97,1584227516,75,48,42.01,16.11
4,Rikitea,PF,-23.12,-134.97,1584227516,0,78,78.26,12.12
5,Hithadhoo,MV,-0.6,73.08,1584227517,64,64,82.83,3.47
6,Mount Gambier,AU,-37.83,140.77,1584227517,90,62,57.2,8.05
7,Saint-Philippe,RE,-21.36,55.77,1584227518,59,83,77.0,8.05
8,Ushuaia,AR,-54.8,-68.3,1584227335,40,62,53.6,6.93
9,Saint Paul Harbor,US,57.79,-152.41,1584227519,1,59,37.4,3.36
10,Hasaki,JP,35.73,140.83,1584227520,20,80,39.2,6.93
11,Vaini,TO,-21.2,-175.2,1584227522,75,79,86.0,18.34
12,Kruisfontein,ZA,-34.0,24.73,1584227522,26,85,62.74,7.72
13,Bunda,TZ,-2.05,33.87,1584227346,98,92,65.73,2.35
14,Sistranda,NO,63.73,8.83,1584227524,99,64,36.0,23.04
15,Port Hardy,CA,50.7,-127.42,1584227316,5,32,39.2,13.87
16,Batouri,CM,4.43,14.37,1584227525,98,22,78.96,2.13
17,Marapanim,BR,-0.72,-47.7,1584227464,100,83,81.46,10.76
18,Atuona,PF,-9.8,-139.03,1584227526,21,72,82.04,10.89
19,George Town,MY,5.41,100.34,1584227483,20,83,82.4,3.36
20,Bredasdorp,ZA,-34.53,20.04,1584227528,83,82,66.2,3.36
21,Arosa,CH,46.78,9.68,1584227528,40,79,41.0,2.24
22,Mocuba,MZ,-16.84,36.99,1584227529,61,98,70.7,2.95
23,Amapá,BR,1.0,-52.0,1584227530,100,95,74.68,4.9
24,Kasongo-Lunda,CD,-6.47,16.82,1584227531,100,95,69.42,1.12
25,Bluff,NZ,-46.6,168.33,1584227531,100,74,62.01,4.0
26,Faya,SA,18.39,42.45,1584227532,20,82,60.8,18.34
27,Punta Arenas,CL,-53.15,-70.92,1584227533,75,67,57.2,16.11
28,Bambous Virieux,MU,-20.34,57.76,1584227533,40,88,77.0,13.49
29,Nikolskoye,RU,59.7,30.79,1584227534,76,45,24.8,13.42
30,Carnarvon,AU,-24.87,113.63,1584227278,75,78,77.0,6.93
31,Greystones,IE,53.14,-6.06,1584227535,75,76,48.99,16.11
32,Hong Kong,HK,22.29,114.16,1584227536,10,55,68.0,10.29
33,Oddur,SO,4.12,43.89,1584227537,17,86,73.27,16.62
34,Hobart,AU,-42.88,147.33,1584227537,40,67,60.01,5.82
35,Alofi,NU,-19.06,-169.92,1584227538,100,79,84.2,8.05
36,Bengkulu,ID,-3.8,102.27,1584227333,81,88,75.18,3.09
37,Hermanus,ZA,-34.42,19.23,1584227540,63,96,64.99,1.99
38,Pangnirtung,CA,66.15,-65.71,1584227465,93,99,-33.92,1.74
39,Buritis,BR,-15.62,-46.42,1584227474,82,95,69.49,2.42
40,Los Llanos de Aridane,ES,28.66,-17.92,1584227543,20,63,64.4,16.11
41,Aksarka,RU,66.56,67.8,1584227544,41,89,-3.93,10.51
42,Cape Town,ZA,-33.93,18.42,1584227483,75,82,66.0,18.34
43,Barrow,US,71.29,-156.79,1584227545,75,77,5.0,27.51
44,Jamestown,US,42.1,-79.24,1584227360,90,80,37.99,6.93
45,Puerto Escondido,MX,15.85,-97.07,1584227547,20,79,86.0,10.29
46,Illapel,CL,-31.63,-71.17,1584227548,33,79,56.84,2.15
47,Les Cayes,HT,18.2,-73.75,1584227348,0,74,79.92,8.59
48,Busselton,AU,-33.65,115.33,1584227549,80,98,66.0,13.04
49,Hamilton,US,39.18,-84.53,1584227551,90,93,37.0,12.75
50,Pevek,RU,69.7,170.31,1584227551,77,69,-0.67,6.64
51,Bairiki Village,KI,1.33,172.98,1584227552,20,74,86.0,6.93
52,Asău,RO,46.43,26.4,1584227347,75,56,41.0,9.17
53,Guararé,PA,7.82,-80.28,1584227554,0,63,81.1,17.78
54,Dolores,AR,-36.31,-57.68,1584227555,18,70,60.78,7.54
55,Puerto Cabello,VE,10.47,-68.01,1584227556,39,77,75.96,6.89
56,Mataura,NZ,-46.19,168.86,1584227557,100,74,62.01,4.0
57,Kavaratti,IN,10.57,72.64,1584227522,1,72,81.88,10.38
58,Aykhal,RU,66.0,111.5,1584227558,77,92,17.6,4.47
59,Lokosovo,RU,61.13,74.82,1584227559,100,92,33.8,14.14
60,Kangaatsiaq,GL,68.31,-53.46,1584227559,100,88,-0.42,3.22
61,Port Alfred,ZA,-33.59,26.89,1584227561,95,87,68.0,4.0
62,Dali,CN,25.7,100.18,1584227334,23,79,47.12,2.93
63,Angoche,MZ,-16.23,39.91,1584227562,72,97,72.16,4.81
64,Vardø,NO,70.37,31.11,1584227372,71,63,22.39,25.59
65,Butaritari,KI,3.07,172.79,1584227563,88,72,83.62,10.76
66,Koungou,YT,-12.73,45.2,1584227564,40,79,84.2,10.29
67,Souillac,MU,-20.52,57.52,1584227271,40,88,77.0,7.54
68,Arman',RU,59.7,150.17,1584227328,100,89,8.53,4.97
69,Nyurba,RU,63.28,118.33,1584227566,97,94,13.91,7.47
70,Kahului,US,20.89,-156.47,1584227281,40,74,80.6,12.75
71,Sitka,US,57.05,-135.33,1584227567,1,60,41.0,7.34
72,Saint George,US,37.1,-113.58,1584227568,20,45,64.0,17.22
73,Dikson,RU,73.51,80.55,1584227570,51,99,-18.27,8.41
74,Yellowknife,CA,62.46,-114.35,1584227364,75,51,10.4,11.41
75,Tuatapere,NZ,-46.13,167.68,1584227571,100,74,62.01,4.0
76,Gao,ML,16.64,1.64,1584227572,0,11,76.53,10.71
77,Pangai,TO,-19.8,-174.35,1584227572,100,82,82.35,13.96
78,São Raimundo das Mangabeiras,BR,-7.02,-45.48,1584227573,95,90,76.28,5.35
79,Bubaque,GW,11.28,-15.83,1584227574,5,48,83.75,24.02
80,Basoda,IN,23.85,77.93,1584227575,10,37,60.71,11.81
81,Peniche,PT,39.36,-9.38,1584227576,0,93,57.0,2.24
82,Porto-Novo,BJ,6.5,2.6,1584227381,69,76,83.26,8.03
83,New Norfolk,AU,-42.78,147.06,1584227577,40,67,60.01,5.82
84,Paulo Afonso,BR,-9.41,-38.21,1584227578,16,70,78.8,10.83
85,Finnsnes,NO,69.23,17.98,1584227578,90,92,33.8,26.4
86,Rāvar,IR,31.27,56.81,1584227579,100,30,61.9,5.35
87,Ribeira Grande,PT,38.52,-28.7,1584227580,58,84,55.96,7.16
88,Ahipara,NZ,-35.17,173.17,1584227581,0,68,66.87,8.57
89,Verkhoyansk,RU,67.54,133.38,1584227581,15,86,-22.83,1.81
90,Caribou,US,46.86,-68.01,1584227582,75,50,30.99,17.22
91,São Félix do Xingu,BR,-6.64,-51.99,1584227583,100,95,74.3,2.01
92,Kapaa,US,22.08,-159.32,1584227417,1,57,78.8,11.41
93,Lavrentiya,RU,65.58,-171.0,1584227584,100,74,21.36,9.78
94,Port Lincoln,AU,-34.73,135.87,1584227585,99,68,61.95,17.6
95,Dongsheng,CN,39.82,109.98,1584227586,0,34,32.99,8.14
96,Provideniya,RU,64.38,-173.3,1584227586,78,79,23.22,6.29
97,Havelock,US,34.88,-76.9,1584227587,90,44,63.0,5.82
98,Dhenkānāl,IN,20.67,85.6,1584227582,40,73,71.6,9.17
99,Castro,BR,-24.79,-50.01,1584227588,0,67,64.4,2.06
100,Brăduţ,RO,46.13,25.62,1584227589,100,67,39.0,3.0
101,São João da Barra,BR,-21.64,-41.05,1584227589,68,88,78.8,4.7
102,Aksu,CN,41.12,80.26,1584227590,3,31,36.77,2.53
103,Flinders,AU,-34.58,150.86,1584227591,97,51,66.0,12.75
104,Namatanai,PG,-3.67,152.43,1584227592,100,75,83.17,10.96
105,Taltal,CL,-25.4,-70.48,1584227592,1,92,60.08,1.19
106,Kumul,CN,42.8,93.45,1584227593,80,33,34.11,3.18
107,Penzance,GB,50.12,-5.54,1584227594,99,93,52.0,27.51
108,Calamar,CO,10.25,-74.91,1584227594,58,66,84.2,17.22
109,Tuktoyaktuk,CA,69.45,-133.04,1584227595,75,85,23.0,29.97
110,Talnakh,RU,69.49,88.4,1584227596,75,100,30.2,17.9
111,Dalby,AU,-27.18,151.27,1584227596,0,77,66.2,6.93
112,Río Gallegos,AR,-51.62,-69.22,1584227570,100,48,62.6,13.87
113,East London,ZA,-33.02,27.91,1584227598,56,78,72.68,9.78
114,Rhede,DE,51.83,6.7,1584227598,90,70,48.2,10.29
115,Kabare,CD,-2.47,28.82,1584227599,100,95,58.87,1.12
116,Hilo,US,19.73,-155.09,1584227600,90,78,77.0,6.93
117,Tasiilaq,GL,65.61,-37.64,1584227601,0,64,1.4,6.93
118,Harar,ET,9.31,42.13,1584227602,97,81,63.45,1.43
119,Puerto Ayora,EC,-0.74,-90.35,1584227603,20,70,84.2,8.05
120,Kloulklubed,PW,7.04,134.26,1584227604,75,88,77.0,10.2
121,Demba,CD,-5.51,22.27,1584227605,31,97,69.12,1.52
122,Mnogovershinnyy,RU,53.94,139.92,1584227606,0,69,5.0,4.54
123,Olafsvik,IS,64.89,-23.71,1584227308,32,52,24.33,2.42
124,Havre de Grace,US,39.55,-76.09,1584227608,40,25,55.0,8.05
125,Lebu,CL,-37.62,-73.65,1584227610,0,71,56.14,11.27
126,Khatanga,RU,71.97,102.5,1584227587,100,86,26.08,9.66
127,Leningradskiy,RU,69.38,178.42,1584227611,49,71,1.45,10.74
128,Ronneby,SE,56.21,15.28,1584227612,47,60,32.0,8.05
129,Rincon,US,32.3,-81.24,1584227613,1,72,77.0,11.41
130,Marshall,US,34.38,-86.33,1584227613,1,53,73.99,9.17
131,Olivenza,ES,38.68,-7.1,1584227614,64,78,55.99,2.17
132,San Patricio,MX,19.22,-104.7,1584227615,40,79,84.2,9.17
133,Crotone,IT,39.09,17.12,1584227615,43,82,53.4,5.73
134,Kongolo,CD,-5.38,27.0,1584227616,94,94,68.5,2.04
135,Havøysund,NO,71.0,24.66,1584227617,100,92,19.4,42.5
136,Severo-Kuril'sk,RU,50.68,156.12,1584227617,33,73,20.97,6.24
137,Padang,ID,-0.95,100.35,1584227618,67,92,69.39,4.65
138,Ixtapa,MX,20.7,-105.2,1584227619,5,74,78.8,16.11
139,Chumikan,RU,54.72,135.31,1584227619,0,76,8.11,7.81
140,Novo Cruzeiro,BR,-17.47,-41.88,1584227620,24,99,65.95,2.48
141,Avera,US,33.19,-82.53,1584227621,90,50,80.6,3.36
142,Bethel,US,41.37,-73.41,1584227622,1,32,51.8,11.41
143,Saskylakh,RU,71.92,114.08,1584227622,97,95,2.35,11.18
144,Cidreira,BR,-30.18,-50.21,1584227623,0,86,76.21,24.52
145,Opuwo,NA,-18.06,13.84,1584227624,93,65,68.72,3.27
146,Tibati,CM,6.47,12.63,1584227625,3,19,62.82,2.13
147,Kalengwa,ZM,-13.47,25.0,1584227625,96,96,63.3,1.48
148,Sur,OM,22.57,59.53,1584227626,100,35,66.69,6.69
149,Kununurra,AU,-15.77,128.73,1584227627,1,78,80.6,5.82
150,Arrondissement de Limoux,FR,42.92,2.17,1584227627,2,81,52.0,2.24
151,Şabrātah,LY,32.79,12.49,1584227628,0,62,64.92,9.37
152,Chokurdakh,RU,70.63,147.92,1584227630,7,91,-20.63,2.89
153,Bud,US,39.45,-86.18,1584227632,90,96,37.0,12.75
154,Barra do Garças,BR,-15.89,-52.26,1584227632,42,90,74.34,3.13
155,Hualmay,PE,-11.1,-77.61,1584227633,93,75,73.17,5.48
156,Aconibe,GQ,1.3,10.94,1584227633,8,97,69.22,2.73
157,Cherskiy,RU,68.75,161.3,1584227634,100,91,-2.74,3.11
158,Raudeberg,NO,61.99,5.14,1584227635,88,82,39.99,21.92
159,Likasi,CD,-10.98,26.73,1584227636,83,97,61.02,2.73
160,Avarua,CK,-21.21,-159.78,1584227636,26,74,84.2,6.93
161,Makakilo City,US,21.35,-158.09,1584227516,90,73,82.4,4.81
162,Longyearbyen,SJ,78.22,15.64,1584227637,75,64,-0.4,5.82
163,Faanui,PF,-16.48,-151.75,1584227638,8,75,83.12,14.47
164,Payo,ID,-3.75,103.64,1584227639,100,97,70.52,0.58
165,Husavik,IS,66.04,-17.34,1584227640,20,77,5.0,4.7
166,Kropotkin,RU,45.44,40.58,1584227641,13,71,45.0,7.05
167,Greensburg,US,40.3,-79.54,1584227642,90,74,42.8,12.75
168,Teya,RU,60.38,92.63,1584227642,100,89,26.98,12.93
169,Yerbogachën,RU,61.28,108.01,1584227501,100,94,28.56,11.07
170,Petrovsk-Zabaykal'skiy,RU,51.27,108.84,1584227644,0,94,19.67,4.9
171,Guerrero Negro,MX,27.98,-114.06,1584227644,0,61,65.21,14.61
172,Makat,KZ,47.65,53.35,1584227645,100,83,52.7,11.9
173,Ketchikan,US,55.34,-131.65,1584227647,1,38,41.0,17.22
174,Beaverlodge,CA,55.22,-119.44,1584227405,5,59,-0.4,6.93
175,Aklavik,CA,68.22,-135.01,1584227648,75,55,33.8,5.82
176,Yulara,AU,-25.24,130.99,1584227457,0,31,75.2,14.99
177,Saint-Pierre,RE,-21.34,55.48,1584227649,43,83,77.0,8.05
178,Ormara,PK,25.21,64.64,1584227526,99,58,72.03,3.51
179,Pervomayskoye,RU,43.92,46.71,1584227652,88,76,53.44,11.45
180,Saldanha,ZA,-33.01,17.94,1584227653,0,88,62.6,12.75
181,Lakes Entrance,AU,-37.88,147.98,1584227654,0,71,59.0,1.01
182,Rome,US,43.21,-75.46,1584227655,90,64,37.4,8.05
183,Isangel,VU,-19.55,169.27,1584227655,40,74,87.8,11.41
184,Dudinka,RU,69.41,86.18,1584227656,75,100,30.2,17.9
185,Mahébourg,MU,-20.41,57.7,1584227657,40,88,77.0,7.54
186,Cabo San Lucas,MX,22.89,-109.91,1584227658,40,39,80.6,23.04
187,Bako,ET,5.78,36.57,1584227658,99,70,68.63,4.68
188,Itarema,BR,-2.92,-39.92,1584227659,99,94,75.51,3.15
189,Fortuna,US,40.6,-124.16,1584227660,20,81,51.01,10.29
190,Coyhaique,CL,-45.58,-72.07,1584227661,75,54,59.0,6.64
191,Compiègne,FR,49.42,2.83,1584227597,100,87,48.2,8.05
192,Saint-Honoré,CA,48.53,-71.08,1584227662,90,67,19.4,36.91
193,Airai,TL,-8.93,125.41,1584227637,9,54,76.75,1.7
194,Thunder Bay,CA,48.4,-89.32,1584227664,75,54,30.2,6.93
195,Vila Franca do Campo,PT,37.72,-25.43,1584227665,20,82,55.4,2.24
196,Innisfail,AU,-17.53,146.03,1584227665,22,61,80.44,3.13
197,Pisco,PE,-13.7,-76.22,1584227666,99,30,75.99,23.04
198,Susa,IR,32.19,48.24,1584227666,95,92,60.49,18.39
199,Alice Springs,AU,-23.7,133.88,1584227635,90,43,73.4,8.05
200,Antalaha,MG,-14.9,50.28,1584227668,100,92,78.91,49.5
201,Torbay,CA,47.67,-52.73,1584227668,20,80,36.0,31.09
202,Tūkrah,LY,32.53,20.58,1584227669,45,67,57.06,5.08
203,Nizhniy Kuranakh,RU,58.84,125.49,1584227670,97,88,-1.26,4.94
204,Shingū,JP,33.73,135.98,1584227672,0,45,47.91,10.38
205,Izberbash,RU,42.57,47.86,1584227672,100,55,60.8,17.9
206,Traverse City,US,44.76,-85.62,1584227673,90,68,32.0,9.17
207,Tashtagol,RU,52.77,87.89,1584227674,100,80,30.31,5.73
208,Inyonga,TZ,-6.72,32.07,1584227674,97,95,65.82,1.48
209,Alta Floresta,BR,-9.88,-56.09,1584227675,100,94,73.09,2.04
210,Sola,VU,-13.88,167.55,1584227677,29,77,85.46,25.12
211,Kavieng,PG,-2.57,150.8,1584227677,87,69,85.08,7.54
212,Dauriya,RU,49.93,116.87,1584227678,0,67,0.88,2.06
213,Porto Real,BR,-22.42,-44.29,1584227679,25,97,67.66,3.67
214,Srikakulam,IN,18.3,83.9,1584227679,10,86,71.4,1.23
215,Brasília,BR,-15.78,-47.93,1584227412,40,61,78.8,8.05
216,Ponta do Sol,PT,32.67,-17.1,1584227681,75,67,60.8,13.87
217,Cadereyta,MX,25.58,-99.98,1584227682,75,36,91.4,13.87
218,Ambilobe,MG,-13.2,49.05,1584227486,100,85,80.08,13.09
219,Westerkappeln,DE,52.32,7.88,1584227683,40,70,46.99,9.17
220,São Filipe,CV,14.9,-24.5,1584227684,14,56,74.03,16.55
221,Geraldton,AU,-28.77,114.6,1584227685,90,88,73.4,10.29
222,Baoding,CN,38.85,115.49,1584227686,0,27,48.58,2.62
223,Umba,RU,66.69,34.34,1584227687,0,88,10.96,6.15
224,Byron Bay,AU,-28.65,153.62,1584227688,90,68,72.0,13.87
225,Necochea,AR,-38.55,-58.74,1584227689,0,77,64.99,7.0
226,Belaya Kholunitsa,RU,58.84,50.85,1584227690,85,90,24.44,3.49
227,Sibolga,ID,1.74,98.78,1584227690,54,93,71.76,3.85
228,Ermelo,ZA,-26.53,29.98,1584227691,27,67,53.2,2.01
229,Camocim,BR,-2.9,-40.84,1584227692,100,95,75.72,3.91
230,Monforte de Lemos,ES,42.52,-7.51,1584227695,2,93,46.0,1.99
231,Trofors,NO,65.53,13.41,1584227696,100,64,35.6,25.28
232,Lucea,JM,18.45,-78.17,1584227697,20,74,84.0,16.11
233,Broome,US,42.25,-75.83,1584227697,1,59,41.0,10.29
234,Sarkand,KZ,45.41,79.92,1584227698,2,45,38.61,6.8
235,Stolin,BY,51.89,26.85,1584227699,51,48,27.82,15.97
236,Brae,GB,60.4,-1.35,1584227700,100,87,44.6,19.46
237,San Juan Bautista,PE,-14.01,-75.74,1584227701,97,30,75.99,23.04
238,Dicabisagan,PH,17.08,122.42,1584227702,59,85,76.37,13.4
239,Upington,ZA,-28.45,21.26,1584227648,0,37,68.0,4.34
240,Arraial do Cabo,BR,-22.97,-42.03,1584227703,20,94,77.0,4.7
241,Codrington,AU,-38.27,141.97,1584227704,47,71,59.0,15.19
242,Kīhei,US,20.79,-156.47,1584227705,90,94,80.6,9.17
243,Dingle,PH,11.0,122.67,1584227706,23,76,77.43,7.9
244,Panama City,PA,8.99,-79.52,1584227481,20,46,89.6,16.11
245,Narsaq,GL,60.92,-46.05,1584227707,100,67,19.4,4.99
246,Thompson,CA,55.74,-97.86,1584227702,20,46,8.6,3.36
247,Gumdag,TM,39.21,54.59,1584227708,97,41,61.81,16.82
248,Marsaxlokk,MT,35.84,14.54,1584227709,75,93,57.0,11.41
249,Batagay-Alyta,RU,67.8,130.41,1584227710,0,84,-24.0,5.5
250,Lüderitz,NA,-26.65,15.16,1584227710,0,64,69.8,9.17
251,Kailua,US,21.4,-157.74,1584227505,90,73,82.4,9.84
252,Qaanaaq,GL,77.48,-69.36,1584227649,0,58,-20.81,5.75
253,Upernavik,GL,72.79,-56.15,1584227715,98,98,-14.1,3.6
254,Ostrovnoy,RU,68.05,39.51,1584227716,97,97,2.52,11.65
255,Guánica,PR,17.97,-66.91,1584227717,90,80,80.01,18.34
256,Natal,BR,-5.79,-35.21,1584227572,20,83,80.6,9.17
257,Muros,ES,42.78,-9.06,1584227718,90,100,52.0,1.12
258,Khāsh,IR,28.22,61.22,1584227719,100,35,57.34,6.58
259,Lata,PT,40.16,-8.33,1584227720,0,93,55.0,2.24
260,Hoquiam,US,46.98,-123.89,1584227721,90,56,45.0,20.8
261,Dwārka,IN,22.24,68.97,1584227657,100,53,74.1,15.77
262,Vidoši,BA,43.77,17.03,1584227462,100,40,53.6,12.75
263,Bundaberg,AU,-24.85,152.35,1584227673,40,60,79.0,12.75
264,Meulaboh,ID,4.14,96.13,1584227723,100,77,82.38,8.37
265,Escanaba,US,45.75,-87.06,1584227727,40,74,30.0,11.41
266,Nishihara,JP,26.18,127.76,1584227728,40,51,59.0,23.04
267,Powell River,CA,49.85,-124.54,1584227728,20,35,39.99,11.41
268,Altagracia de Orituco,VE,9.86,-66.38,1584227729,15,81,67.35,6.62
269,Albanel,CA,48.88,-72.45,1584227730,90,57,19.4,21.92
270,Esperance,AU,-33.87,121.9,1584227730,40,77,66.2,20.8
271,Half Moon Bay,US,37.46,-122.43,1584227457,90,87,54.0,6.93
272,Esso,RU,55.93,158.7,1584227733,16,82,6.46,4.88
273,Ken Caryl,US,39.58,-105.12,1584227733,20,46,53.01,14.99
274,Richards Bay,ZA,-28.78,32.04,1584227734,6,87,76.62,5.77
275,Karratha,AU,-20.74,116.85,1584227528,90,72,83.5,16.37
276,Manzanares,ES,39.0,-3.37,1584227736,68,66,55.99,3.74
277,Arona,ES,28.1,-16.68,1584227736,75,87,64.99,21.92
278,Doha,QA,25.29,51.53,1584227656,83,73,73.0,11.41
279,Vilyuysk,RU,63.76,121.62,1584227739,96,96,5.36,5.28
280,Shimoda,JP,34.67,138.95,1584227673,31,93,46.0,3.36
281,Kaitangata,NZ,-46.28,169.85,1584227741,100,70,61.0,1.99
282,Kasane,BW,-17.82,25.15,1584227742,89,89,67.37,2.64
