,City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
283,Dukat,RU,62.55,155.55,1584227742,100,91,-5.39,4.05
284,Chui,UY,-33.7,-53.46,1584227657,67,90,71.71,6.42
285,Nuuk,GL,64.18,-51.72,1584227732,63,55,6.8,18.34
286,Lozova,UA,48.89,36.32,1584227513,28,62,33.51,15.41
287,Suluova,TR,40.83,35.65,1584227746,75,66,48.2,4.7
288,Mar del Plata,AR,-38.0,-57.56,1584227748,40,72,66.2,6.93
289,Iqaluit,CA,63.75,-68.51,1584227749,20,61,-18.4,12.75
290,Billings Metropolitan Area,US,45.78,-108.5,1584227589,90,74,37.99,13.87
291,Kantilo,IN,20.35,85.18,1584227750,40,73,71.6,9.17
292,Provincia di Ravenna,IT,44.42,11.98,1584227751,90,71,53.6,14.99
293,Malé,MV,4.17,73.51,1584227751,20,83,82.4,4.7
294,Mago,RU,53.25,140.18,1584227752,23,86,5.77,3.18
295,Leer,SS,8.3,30.14,1584227753,23,25,78.84,6.76
296,North Bend,US,43.41,-124.22,1584227753,75,70,46.99,11.41
297,Beïnamar,TD,8.67,15.38,1584227754,0,12,72.34,5.44
298,Vung Tau,VN,10.35,107.08,1584227755,86,72,80.15,17.18
299,Fairbanks,US,64.84,-147.72,1584227756,90,67,25.0,3.36
300,Westport,US,41.14,-73.36,1584227757,1,32,53.01,11.41
301,Amiens,FR,49.9,2.3,1584227758,20,100,46.0,6.93
302,Gnjilane,XK,42.46,21.47,1584227758,75,94,44.6,2.24
303,Port Blair,IN,11.67,92.75,1584227688,26,69,82.2,6.35
304,Cockburn Town,TC,21.46,-71.14,1584227760,40,65,78.8,11.41
305,Vanavara,RU,60.34,102.28,1584227761,100,95,28.22,9.93
306,Kurumkan,RU,54.3,110.3,1584227761,86,83,14.4,1.48
307,Pacifica,US,37.61,-122.49,1584227571,90,87,54.0,6.93
308,Turukhansk,RU,65.82,87.98,1584227763,100,97,30.29,11.99
309,Puerto Salgar,CO,5.46,-74.65,1584227763,78,96,70.11,1.59
310,Antofagasta,CL,-23.65,-70.4,1584227764,40,77,68.0,14.99
311,Verāval,IN,20.9,70.37,1584227765,98,27,68.7,14.5
312,Grand Gaube,MU,-20.01,57.66,1584227716,40,88,77.0,10.02
313,Kédougou,SN,12.56,-12.17,1584227766,15,12,78.19,1.43
314,Tortolì,IT,39.93,9.66,1584227767,40,93,55.4,8.05
315,Juneau,US,58.3,-134.42,1584227767,20,44,41.0,5.82
316,Alice Town,BS,25.72,-79.3,1584227768,40,82,75.36,15.03
317,Tautira,PF,-17.73,-149.15,1584227596,40,59,89.6,3.36
318,Pacific Grove,US,36.62,-121.92,1584227769,90,62,59.0,11.41
319,Quatre Cocos,MU,-20.21,57.76,1584227770,40,88,77.0,13.53
320,Kiryat Gat,IL,31.61,34.76,1584227770,75,93,59.0,6.93
321,Sabla,NG,12.75,4.71,1584227771,86,13,76.08,10.63
322,Curuçá,BR,-0.73,-47.85,1584227772,100,82,80.58,9.69
323,Sherbakul',RU,54.63,72.4,1584227773,100,93,32.0,13.42
324,Portland,US,45.52,-122.68,1584227479,90,64,42.8,12.75
325,Umluj,SA,25.02,37.27,1584227775,0,59,62.74,5.19
326,Orodara,BF,10.95,-4.93,1584227775,52,38,87.8,5.82
327,El Cocuy,CO,6.41,-72.44,1584227776,100,97,51.96,0.74
328,Toyooka,JP,35.53,134.83,1584227777,75,66,35.6,6.93
329,Jalu,LY,29.03,21.55,1584227777,93,36,63.05,3.96
330,Bereda,ES,43.27,-7.54,1584227778,9,93,48.0,4.7
331,Sepatan,ID,-6.12,106.58,1584227779,20,83,78.8,2.24
332,Ballina,AU,-28.87,153.57,1584227771,75,93,68.0,16.11
333,Mount Isa,AU,-20.73,139.5,1584227780,39,41,78.8,9.17
334,Kirakira,SB,-10.45,161.92,1584227781,98,80,82.27,12.55
335,Sarangani,PH,5.4,125.46,1584227782,69,72,80.22,4.45
336,Khovd,MN,48.01,91.64,1584227782,0,41,18.82,7.56
337,Nishifukuma,JP,33.77,130.47,1584227783,40,46,53.01,14.99
338,Rīngas,IN,27.35,75.57,1584227521,0,51,60.8,1.86
339,Taoudenni,ML,22.68,-3.98,1584227784,0,12,70.63,2.93
340,Clyde River,CA,70.47,-68.59,1584227785,20,74,-25.6,3.36
341,Katsuura,JP,35.13,140.3,1584227738,20,60,44.01,10.29
342,Vostok,RU,46.49,135.88,1584227787,100,91,16.45,3.65
343,Kisi,NG,9.08,3.85,1584227757,40,16,78.15,1.21
344,Davila,PH,18.47,120.58,1584227788,75,83,77.0,6.93
345,Boa Vista,BR,2.82,-60.67,1584227789,40,43,91.4,9.17
346,Diamantino,BR,-14.41,-56.45,1584227790,83,90,75.4,3.65
347,Olinda,BR,-8.01,-34.86,1584227790,75,74,84.2,9.17
348,Dāmghān,IR,36.17,54.35,1584227791,98,32,54.82,2.42
349,Kulevcha,UA,46.03,29.94,1584227792,100,55,42.8,10.0
350,Tegul'det,RU,57.31,88.17,1584227792,100,94,33.62,15.75
351,Muli,MV,2.92,73.57,1584227793,91,65,83.86,5.7
352,Zar,AM,40.26,44.73,1584227795,75,93,50.0,2.89
353,Langevåg,NO,62.44,6.19,1584227796,75,65,42.8,17.22
354,Orikum,AL,40.33,19.47,1584227796,63,78,55.56,5.86
355,Goderich,CA,43.75,-81.72,1584227702,100,79,34.0,4.0
356,Gornopravdinsk,RU,60.05,69.9,1584227797,78,88,29.89,10.45
357,La Puebla de Cazalla,ES,37.22,-5.31,1584227798,51,82,61.0,5.82
358,Vestmannaeyjar,IS,63.44,-20.27,1584227799,33,66,27.14,18.01
359,Maryville,US,35.76,-83.97,1584227621,90,62,59.0,8.05
360,Wejherowo,PL,54.61,18.24,1584227801,0,79,28.0,2.24
361,Cap-aux-Meules,CA,47.38,-61.86,1584227582,40,74,28.4,24.16
362,Glace Bay,CA,46.2,-59.96,1584227804,90,74,34.0,23.04
363,Tarakan,ID,3.3,117.63,1584227804,24,85,78.91,6.11
364,Goma,CD,-1.68,29.22,1584227805,100,94,56.35,0.38
365,Zheleznodorozhnyy,RU,55.75,38.0,1584227806,75,92,25.0,15.66
366,Greeley,US,40.42,-104.71,1584227740,90,69,46.99,5.82
367,Auki,SB,-8.77,160.7,1584227807,99,78,84.11,15.48
368,Chara,RU,56.91,118.26,1584227808,99,68,-0.92,1.23
369,San Miguel de Tucumán,AR,-26.82,-65.22,1584227808,75,69,80.6,12.75
370,Oranjemund,NA,-28.55,16.43,1584227811,4,93,61.43,6.67
371,Srīvardhan,IN,18.03,73.02,1584227812,85,42,72.05,3.87
372,Novominskaya,RU,46.32,38.96,1584227813,76,66,44.67,9.31
373,Poum,NC,-20.23,164.02,1584227815,95,79,84.31,49.59
374,Salalah,OM,17.02,54.09,1584227772,75,61,77.0,8.05
375,Novopokrovka,UA,49.84,36.55,1584227816,75,55,33.8,15.66
376,Nānpāra,IN,27.87,81.5,1584227816,0,69,60.46,4.29
377,Havre-St-Pierre,CA,50.23,-63.6,1584227817,75,63,28.4,13.87
378,Sérvia,GR,40.18,21.99,1584227818,56,76,55.0,6.93
379,Mehamn,NO,71.04,27.85,1584227758,100,92,15.26,16.44
380,Liku,ID,-0.73,119.89,1584227820,100,72,75.97,0.36
381,The Pas,CA,53.83,-101.25,1584227821,1,46,8.6,2.24
382,Lethem,GY,3.38,-59.8,1584227822,80,52,87.53,14.12
383,Lorengau,PG,-2.02,147.27,1584227822,95,76,84.06,11.79
384,Lompoc,US,34.64,-120.46,1584227800,90,59,60.8,8.05
385,Pastavy,BY,55.12,26.83,1584227824,24,75,25.66,12.48
386,Kulhudhuffushi,MV,6.62,73.07,1584227825,16,74,83.44,6.64
387,Cayenne,GF,4.93,-52.33,1584227826,74,74,80.6,5.82
388,Roald,NO,62.58,6.13,1584227827,75,65,41.0,17.22
389,Norman Wells,CA,65.28,-126.83,1584227830,90,85,17.6,2.24
390,Parangan,PH,5.08,119.94,1584227830,54,71,81.19,7.99
391,Arlit,NE,18.74,7.39,1584227831,0,14,69.28,8.68
392,Nikol'sk,RU,53.72,46.07,1584227832,51,94,32.0,10.0
393,Najrān,SA,17.49,44.13,1584227832,40,34,78.8,1.83
394,Krasnosel'kup,RU,65.7,82.47,1584227833,100,96,29.62,11.01
395,Moree,AU,-29.47,149.85,1584227834,17,56,68.0,14.99
396,Tura,IN,25.52,90.22,1584227834,100,77,65.37,5.3
397,Bandarbeyla,SO,9.49,50.81,1584227835,72,76,78.33,7.81
398,Humaitá,BR,-7.51,-63.02,1584227835,100,98,75.52,1.92
399,Belyy Yar,RU,53.6,91.39,1584227836,100,64,39.2,13.42
400,Egvekinot,RU,66.32,-179.17,1584227709,44,76,8.85,4.63
401,Kerman,IR,30.28,57.08,1584227838,40,15,57.2,11.41
402,Savinka,RU,50.08,47.1,1584227839,51,80,36.82,8.37
403,Marquette,US,46.53,-87.63,1584227597,90,68,27.0,14.99
404,College,US,64.86,-147.8,1584227610,90,67,25.0,3.36
405,Grootfontein,NA,-19.57,18.12,1584227841,75,71,66.04,2.46
406,Lapua,FI,62.97,23.01,1584227842,2,79,23.0,5.82
407,Ouallam,NE,14.32,2.09,1584227843,0,12,78.73,9.46
408,Alto Araguaia,BR,-17.31,-53.22,1584227844,12,89,70.7,5.21
409,Siniscola,IT,40.57,9.69,1584227844,0,90,42.12,4.7
410,Tamboril,DO,19.49,-70.61,1584227845,20,78,77.0,6.93
411,Vila Velha,BR,-20.33,-40.29,1584227560,20,83,80.6,4.7
412,Santarém,BR,-2.44,-54.71,1584227847,40,83,80.6,2.24
413,Tilichiki,RU,60.47,166.1,1584227848,100,79,28.56,11.63
414,Bathsheba,BB,13.22,-59.52,1584227647,90,88,75.2,14.99
415,San Francisco,US,37.77,-122.42,1584227643,90,93,54.0,6.93
416,Rudnya,RU,54.95,31.09,1584227850,52,62,23.27,14.38
417,Coquimbo,CL,-29.95,-71.34,1584227850,13,77,66.2,12.75
418,St. George's,GD,12.06,-61.75,1584227635,75,83,78.8,5.82
419,Udayagiri,IN,20.13,84.38,1584227852,82,79,70.84,0.36
420,Monywa,MM,22.12,95.13,1584227852,70,38,74.55,5.68
421,Lubumbashi,CD,-11.66,27.48,1584227849,99,98,64.71,2.8
422,Labuhan,ID,-6.88,112.21,1584227854,91,88,78.39,2.91
423,Lahat,ID,-3.8,103.53,1584227854,100,97,70.52,0.58
424,Buchanan,LR,5.88,-10.05,1584227855,20,88,82.4,3.78
425,Road Town,VG,18.42,-64.62,1584227856,20,74,78.8,6.93
426,Mbini,GQ,1.57,9.61,1584227856,98,80,82.72,7.9
427,Ginir,ET,7.13,40.7,1584227858,73,63,62.71,4.03
428,Katubao,PH,5.89,124.83,1584227859,68,69,76.96,2.59
429,Lubango,AO,-14.92,13.49,1584227860,100,89,61.75,2.82
430,Henties Bay,NA,-22.12,14.28,1584227860,0,93,62.01,4.59
431,Neyshabur,IR,36.21,58.8,1584227861,84,25,58.1,8.99
432,Grindavik,IS,63.84,-22.43,1584227862,75,79,26.6,10.29
433,Saint-Augustin,CA,51.23,-58.65,1584227864,98,82,22.1,13.69
434,Kemijärvi,FI,66.71,27.43,1584227864,53,84,14.45,15.86
435,Port Macquarie,AU,-31.43,152.92,1584227865,95,82,66.99,6.93
436,Kippen,GB,56.13,-4.17,1584227866,100,81,48.0,21.92
437,Beyneu,KZ,45.32,55.2,1584227866,100,76,51.67,7.4
438,Saint-Paul-lès-Dax,FR,43.73,-1.05,1584227867,0,81,44.6,4.7
439,Harrison,US,30.41,-89.04,1584227867,1,73,78.8,5.82
440,Wasilla,US,61.58,-149.44,1584227686,1,45,28.99,3.36
441,Malakal,SS,9.53,31.66,1584227869,58,17,82.0,7.76
442,Qadirpur Ran,PK,30.29,71.67,1584227869,0,93,59.0,3.06
443,Hoi An,VN,15.88,108.33,1584227870,40,83,77.0,1.12
444,Tiznit Province,MA,29.58,-9.5,1584227872,64,90,52.25,3.53
445,Vao,NC,-22.67,167.48,1584227873,100,82,83.25,24.36
446,Eyl,SO,7.98,49.82,1584227874,93,80,79.36,14.36
447,Margate,GB,51.38,1.39,1584227875,75,87,48.99,17.22
448,Katghora,IN,22.5,82.55,1584227876,12,93,64.47,2.46
449,Sandwick,GB,60.0,-1.25,1584227826,75,93,44.6,23.04
450,Constitución,CL,-35.33,-72.42,1584227878,38,83,54.82,5.7
451,Mayo,US,38.89,-76.51,1584227879,90,32,55.99,5.84
452,Caravelas,BR,-17.71,-39.25,1584227637,82,79,80.58,15.37
453,Vila,PT,42.03,-8.16,1584227880,0,93,52.0,1.12
454,Nanortalik,GL,60.14,-45.24,1584227881,100,73,20.95,2.51
455,Cukai,MY,4.25,103.42,1584227881,100,94,78.8,8.77
456,Katobu,ID,-4.94,122.53,1584227882,97,90,78.67,2.59
457,Saint-Joseph,RE,-21.37,55.62,1584227826,43,78,77.0,5.82
458,Balakhta,RU,55.38,91.6,1584227883,100,79,32.16,14.45
459,Rantepao,ID,-2.97,119.9,1584227885,100,91,70.74,1.21
460,Mkushi,ZM,-13.62,29.39,1584227885,98,97,63.19,3.38
461,Lipari,IT,38.47,14.95,1584227886,20,77,60.01,3.36
462,Tiksi,RU,71.69,128.87,1584227887,14,71,-14.58,6.55
463,Mandāwar,IN,29.5,78.13,1584227887,0,87,54.36,3.89
464,Piskivka,UA,50.69,29.62,1584227888,81,79,30.99,8.95
465,Caucayá,CO,-0.19,-74.78,1584227813,100,91,74.05,1.72
466,Khorixas,NA,-20.37,14.97,1584227889,0,44,72.61,1.21
467,Jiuquan,CN,39.74,98.52,1584227890,88,33,28.44,3.24
468,Le Mans,FR,48.0,0.2,1584227891,90,87,46.99,3.36
469,Santiago,CL,-33.46,-70.65,1584227695,0,30,84.2,6.93
470,Marsá Maţrūḩ,EG,31.35,27.25,1584227893,83,87,53.6,6.85
471,Ubari,LY,26.59,12.78,1584227894,0,20,60.78,7.81
472,San Alberto,CO,7.76,-73.39,1584227894,62,52,85.35,4.47
473,Linares,CL,-35.85,-71.6,1584227895,41,19,65.07,4.25
474,Todos Santos,MX,23.45,-110.22,1584227896,40,50,80.6,13.87
475,Churapcha,RU,62.0,132.43,1584227897,95,95,-9.53,4.12
476,Petrovac,RS,44.38,21.42,1584227897,97,73,44.01,4.0
477,Vikevåg,NO,59.1,5.7,1584227898,90,87,43.0,25.28
478,Chilmāri,BD,25.56,89.67,1584227899,100,73,67.46,5.5
479,Onega,RU,63.91,38.14,1584227899,39,82,21.94,11.63
480,Belgrade,RS,44.8,20.47,1584227702,99,65,46.4,4.7
481,Hambantota,LK,6.12,81.12,1584227670,11,79,78.64,16.58
482,Boralday,KZ,43.36,76.86,1584227810,40,56,42.8,6.71
483,Yining,CN,29.04,114.56,1584227904,0,64,50.18,0.92
484,Kaélé,CM,10.11,14.45,1584227905,0,17,71.26,10.98
485,Saint-François,FR,46.42,3.91,1584227905,0,93,42.01,3.36
486,Tobe,JP,33.74,132.79,1584227906,20,75,46.0,10.29
487,Chimoré,BO,-16.98,-65.13,1584227907,90,66,83.3,2.8
488,Gamba,GA,-2.65,10.0,1584227723,100,88,79.05,2.06
489,Baruun-Urt,MN,46.68,113.28,1584227856,25,88,16.12,2.82
490,Wahiawā,US,21.5,-158.02,1584227909,90,73,82.4,4.81
491,Jacareacanga,BR,-6.22,-57.75,1584227910,100,99,73.72,0.69
492,Poso,ID,-1.4,120.75,1584227911,100,85,70.45,1.23
493,Amarante do Maranhão,BR,-5.57,-46.74,1584227912,99,95,74.05,2.62
494,Yangmei,CN,24.1,112.56,1584227914,60,79,56.3,4.03
495,Tokat,TR,40.42,36.58,1584227914,62,94,40.66,3.29
496,Chimbote,PE,-9.09,-78.58,1584227915,70,69,76.77,7.94
497,Biberach an der Riss,DE,48.09,9.79,1584227916,0,88,39.99,2.24
498,Tamsweg,AT,47.13,13.81,1584227917,75,98,41.0,5.82
499,Yazd,IR,31.9,54.37,1584227748,20,33,62.6,4.7
500,Babu,CN,24.42,111.52,1584227918,69,79,56.82,2.15
501,Jinchang,CN,38.5,102.17,1584227919,75,32,30.97,7.52
502,Bursa,TR,40.17,29.08,1584227920,100,93,42.8,2.24
503,Montepuez,MZ,-13.13,39.0,1584227920,100,98,70.12,0.78
504,Røros,NO,62.57,11.38,1584227921,90,53,24.8,16.11
505,Kushima,JP,31.46,131.23,1584227876,20,52,46.4,5.82
506,Polovinnoye,RU,54.79,65.99,1584227922,95,97,32.43,9.66
507,Sørland,NO,67.67,12.69,1584227924,100,66,40.32,37.29
508,Mandalgovi,MN,45.76,106.27,1584227925,15,35,28.45,11.18
509,Praia,CV,14.92,-23.51,1584227741,18,33,77.0,16.11
510,Ambulu,ID,-8.35,113.61,1584227926,95,82,79.7,5.37
511,Mosetse,BW,-20.75,26.65,1584227926,92,62,75.11,9.35
512,Port Augusta,AU,-32.5,137.77,1584227927,6,67,60.8,11.41
513,Ivanovka,KG,42.89,75.08,1584227928,74,47,41.0,6.71
514,Ust'-Omchug,RU,61.15,149.63,1584227928,100,91,-5.55,4.56
515,Pitimbu,BR,-7.47,-34.81,1584227929,64,74,82.4,9.17
516,Pampa,US,35.54,-100.96,1584227930,75,71,51.8,16.11
517,Dawei,MM,14.08,98.2,1584227932,46,65,80.29,5.08
518,Uvinza,TZ,-5.1,30.39,1584227932,93,97,64.72,0.51
519,Lufilufi,WS,-13.87,-171.6,1584227935,41,70,87.01,11.01
520,Partizanskoye,RU,55.5,94.39,1584227935,51,86,32.49,22.86
521,Ternate,ID,0.8,127.4,1584227936,100,77,78.64,2.35
522,Qinzhou,CN,21.95,108.62,1584227937,96,67,66.74,4.52
523,Iskateley,RU,67.68,53.15,1584227937,18,85,1.62,5.79
524,Gouré,NE,13.98,10.27,1584227938,100,17,73.0,5.01
525,Yuxia,CN,34.06,108.63,1584227938,6,69,48.99,2.24
526,Willimantic,US,41.71,-72.21,1584227939,1,42,50.0,10.29
527,Semey,KZ,50.41,80.23,1584227940,36,79,29.62,5.17
528,Olenegorsk,RU,68.15,33.3,1584227941,17,83,3.38,7.09
529,Murgab,TM,37.5,61.97,1584227941,90,41,60.8,11.41
530,Dumas,US,35.87,-101.97,1584227942,75,71,66.99,19.46
531,Yārāda,IN,17.65,83.27,1584227943,0,68,79.39,1.92
532,Varkaus,FI,62.32,27.87,1584227943,0,61,15.8,6.93
533,Marsh Harbour,BS,26.54,-77.06,1584227945,2,79,73.85,9.51
534,Thinadhoo,MV,0.53,72.93,1584227946,80,64,83.23,5.32
535,Zhigansk,RU,66.77,123.37,1584227832,100,95,-5.39,23.87
536,Krasnyy Yar,RU,46.53,48.35,1584227947,29,70,44.6,13.42
537,Bastrop,US,32.76,-91.87,1584227948,75,83,73.4,5.95
538,Khandyga,RU,62.67,135.6,1584227948,32,96,-14.71,3.2
539,Prince Rupert,CA,54.32,-130.32,1584227707,1,29,37.4,8.05
540,San Quintín,MX,30.48,-115.95,1584227950,34,70,62.2,11.83
541,Bangassou,CF,4.74,22.82,1584227951,85,59,77.11,2.53
542,Dire Dawa,ET,9.59,41.87,1584227951,97,81,63.45,1.43
543,Ipil,PH,7.75,122.52,1584227952,46,75,80.46,10.47
544,Tarazona,ES,41.9,-1.73,1584227953,0,70,50.0,3.36
545,Lodwar,KE,3.12,35.6,1584227953,56,45,86.61,9.48
546,Meadow Lake,US,34.8,-106.54,1584227955,40,26,63.0,9.17
547,Pringsewu,ID,-5.36,104.97,1584227955,83,96,73.56,1.88
548,Zhuhai,CN,22.28,113.57,1584227956,20,68,68.0,10.29
549,Buin,CL,-33.73,-70.75,1584227957,0,30,84.2,6.93
550,Pokhara,NP,28.23,83.98,1584227957,98,85,53.47,2.17
551,Beringovskiy,RU,63.05,179.32,1584227958,49,86,21.36,7.18
552,Kokopo,PG,-4.35,152.26,1584227705,100,74,84.47,16.37
553,Shache,CN,38.42,77.24,1584227960,21,33,41.32,5.17
554,Inhambane,MZ,-23.86,35.38,1584227960,0,82,77.63,6.55
555,Tarko-Sale,RU,64.92,77.78,1584227961,97,93,32.0,11.41
556,Olching,DE,48.2,11.33,1584227961,62,88,39.0,3.36
557,Rosa Zarate,EC,0.33,-79.47,1584227962,90,90,72.95,0.43
558,Jardinópolis,BR,-21.02,-47.76,1584227963,20,48,86.0,11.41
559,Yabēlo,ET,4.88,38.08,1584227964,84,69,68.18,3.04
560,Palana,RU,59.12,159.97,1584227964,100,85,18.21,24.18
561,Mossamedes,AO,-15.2,12.15,1584227965,99,76,76.66,5.37
562,Kīratpur,IN,29.52,78.2,1584227966,0,87,54.36,3.89
563,Monrovia,LR,6.3,-10.8,1584227966,20,88,82.4,7.36
564,Nueve de Julio,AR,-35.44,-60.88,1584227921,96,85,63.0,5.37
565,Blyth,GB,55.13,-1.51,1584227967,40,87,51.01,18.34
566,Harper,LR,4.38,-7.72,1584227969,79,94,77.31,4.03
567,Mattru,SL,7.62,-11.83,1584227970,83,84,79.81,3.56
568,Mahbūbābād,IN,17.62,80.02,1584227970,0,86,70.74,1.23
569,Broken Hill,AU,-31.95,141.43,1584227971,18,54,53.6,19.46
